industry,kpi_name,baseline,actual,target,budget_bn_rub,effect_bn_rub,projects_count,scaled_projects,progress
Industry,downtime reduction,21.5,47.5,64.9,54.9,89.8,37,3,0.599
Industry,defect rate reduction,16.0,25.2,36.0,65.5,115.4,18,6,0.46
Industry,cost reduction,20.0,37.3,46.8,52.0,48.2,42,2,0.646
Healthcare,waiting time reduction,5.3,15.4,22.5,49.7,114.4,10,2,0.587
Healthcare,doctor workload reduction,16.7,39.3,53.5,39.6,50.7,16,7,0.614
Healthcare,early detection growth,10.0,18.7,33.3,72.1,166.8,41,9,0.373
Transport & Logistics,delivery time reduction,5.4,20.1,35.4,69.0,97.7,8,3,0.49
Transport & Logistics,accident reduction,24.4,35.5,42.0,53.3,93.9,30,6,0.631
Transport & Logistics,route cost reduction,17.4,30.9,53.5,23.9,19.8,41,19,0.374
Agriculture,yield growth,12.8,31.9,41.0,37.6,68.8,31,13,0.677
Agriculture,resource consumption reduction,11.0,29.0,41.7,66.8,114.8,24,11,0.586
Agriculture,forecast accuracy,20.4,25.5,37.4,55.4,82.7,18,4,0.3
Public Administration,service time reduction,15.7,31.2,44.5,41.0,90.1,11,2,0.538
Public Administration,manual operations reduction,22.9,39.7,52.2,26.2,31.0,26,6,0.573
Public Administration,complaints reduction,8.4,16.7,31.7,20.8,21.6,19,3,0.356
Education,teacher workload reduction,22.9,30.9,41.7,35.9,35.3,29,9,0.426
Education,learning outcome growth,22.5,35.6,65.1,33.0,79.6,42,16,0.308
Education,personalized coverage,15.7,32.1,58.5,64.4,119.9,9,2,0.383
Energy,network loss reduction,6.2,12.8,25.7,59.7,148.5,25,11,0.338
Energy,outage reduction,12.1,20.9,39.0,62.9,73.3,24,8,0.327
Energy,maintenance cost reduction,6.8,18.7,37.8,37.3,65.2,17,4,0.384
Housing & Utilities,accident prevention,18.0,33.8,47.4,62.9,120.5,26,11,0.537
Housing & Utilities,repair time reduction,10.7,25.3,36.6,52.1,78.8,13,2,0.564
Housing & Utilities,resource loss reduction,23.7,29.4,38.9,38.7,68.8,37,12,0.375
